id,image_id,classified_at,food,user_id,provider_id,created_at,updated_at,uid,cooking_photo_id,taken_at,milestone,misclassified_at,moderated_at,utc_offset
3419417,0302fc3773f9c875,2016-12-08T19:11:31,1,6129125,1,2016-12-08T19:11:21,2016-12-12T15:53:12,D1D7FE7A-EA76-4C10-82CB-0BF6A220090A/L0/001,307650,2016-11-08T09:17:16,0,,2016-12-12T15:53:12,0
3419419,3a124dec91eea81b,2016-12-08T19:11:28,1,6129125,1,2016-12-08T19:11:21,2016-12-12T15:53:12,D8146E1D-47D2-40CC-9B34-B2DCE5D09DB0/L0/001,307646,2016-11-08T09:17:05,0,,2016-12-12T15:53:12,0
3419420,e6cea6ab2c0ae28c,2016-12-08T19:11:31,1,6129125,1,2016-12-08T19:11:21,2016-12-12T15:53:12,EF9B2489-91C9-489E-8A56-95DC8C77ADFB/L0/001,307651,2016-11-08T20:10:39,0,,2016-12-12T15:53:12,0
3419422,525e320dedfb6847,2016-12-08T19:11:33,1,6129125,1,2016-12-08T19:11:21,2016-12-12T15:53:12,628D7F7F-7F3C-4737-B195-07239523C41A/L0/001,307654,2016-11-08T20:10:33,0,,2016-12-12T15:53:12,0
3419423,4c23a63c464354c1,2016-12-08T19:11:27,1,6129125,1,2016-12-08T19:11:21,2016-12-12T15:53:12,E961E33A-1CBA-4003-BB4F-88953BF0BE95/L0/001,307644,2016-11-08T20:10:45,0,,2016-12-12T15:53:12,0
3419425,ba36f8d1f9d48b4f,2016-12-08T19:11:28,1,6129125,1,2016-12-08T19:11:21,2016-12-12T15:53:12,3B8DDDBE-1FD2-43C1-824A-F551D5F19B16/L0/001,307647,2016-11-08T20:10:45,0,,2016-12-12T15:53:12,0
3419426,0575794ae46a1040,2016-12-08T19:11:31,1,6129125,1,2016-12-08T19:11:21,2016-12-12T15:53:12,328C1CD9-4C47-4E62-AD09-9BD41F3D561C/L0/001,307652,2016-11-08T20:10:39,0,,2016-12-12T15:53:12,0
3419427,1ef7fdd93a0d4ccc,2016-12-08T19:11:30,1,6129125,1,2016-12-08T19:11:21,2016-12-12T15:53:12,F972887C-929C-44D2-A87F-5343F217ECD6/L0/001,307648,2016-11-08T20:11:52,0,,2016-12-12T15:53:12,0
3419428,46e495120f587c97,2016-12-08T19:11:33,1,6129125,1,2016-12-08T19:11:21,2016-12-12T15:53:12,C00B9972-D364-4B98-A221-F145E9266FA0/L0/001,307655,2016-11-08T09:17:16,0,,2016-12-12T15:53:12,0
3419429,9248a54f71bfe895,2016-12-08T19:11:34,1,6129125,1,2016-12-08T19:11:31,2016-12-12T15:53:12,81A37524-AD25-467B-B872-88A83A98F158/L0/001,307657,2016-11-05T21:22:32,0,,2016-12-12T15:53:12,0
3419430,f91d842b241e7286,2016-12-08T19:11:34,1,6129125,1,2016-12-08T19:11:31,2016-12-12T15:53:12,BA22B8CC-43FD-4F4E-AC7C-DFD4B746C054/L0/001,307656,2016-11-05T21:42:45,0,,2016-12-12T15:53:12,0
